,Completion_rate,Tuition_in_state,Tuition_out_state,Faculty_salary,Pell_grant_rate,SAT_average,ACT_50thPercentile,pct_White,pct_Black,pct_Hispanic,pct_Asian,Parents_middlesch,Parents_highsch,Parents_college
0,0.6552,33560,33560,4285,0.2531,1029,21,0.3771,0.0612,0.059,0.1345,0.011560694,0.226396917,0.762042389
1,0.5246,7383,18543,9148,0.4752,963,21,0.2866,0.0331,0.4212,0.1011,0.107410675,0.375165417,0.517423908
2,0.403,23144,23144,7232,0.4668,984,21,0.3085,0.1426,0.2309,0.0149,0.091240876,0.361313869,0.547445256
3,0.5472,6610,17770,9284,0.6369,877,18,0.1272,0.0572,0.6282,0.0557,0.163236449,0.433621367,0.403142184
4,0.8166,47004,47004,11984,0.1337,1323,30,0.4251,0.0786,0.2268,0.0549,0.014868106,0.186091127,0.799040767
5,0.5208,6577,17737,8663,0.6163,887,18,0.1409,0.0575,0.6083,0.059,0.158010887,0.437545976,0.404443137
6,0.6591,35326,35326,6818,0.301,1086,24,0.8322,0.0317,0.035,0.0226,0.017647059,0.267320261,0.71503268
7,0.6637,13262,39944,10076,0.6107,985,22,0.1124,0.0462,0.5124,0.2125,0.171609332,0.402530645,0.425860024
8,0.3615,22090,22090,6087,0.4667,973,21,0.5933,0.2992,0.0317,0.0145,0.016621984,0.313136729,0.670241287
9,0.5616,35520,35520,8602,0.2712,1243,28,0.6883,0.0239,0.044,0.0313,0.013824885,0.247926267,0.738248848
10,0.4186,7920,17448,6941,0.4242,1008,22,0.8469,0.0622,0.0206,0.0089,0.031695481,0.375796178,0.592508341
11,0.4943,28150,28150,5434,0.3543,1056,24,0.7496,0.0156,0.1019,0.0187,0.030215827,0.270503597,0.699280576
12,0.8867,45760,45760,13380,0.134,1198,28,0.6219,0.0313,0.0765,0.0804,0.01183432,0.143702451,0.844463229
13,0.518,10614,23124,8640,0.4298,1125,25,0.7047,0.1066,0.0502,0.0617,0.038020086,0.341822095,0.620157819
14,0.4417,7716,17508,7593,0.4007,993,22,0.5727,0.189,0.1747,0.0119,0.036241319,0.317274306,0.646484375
15,0.4289,9077,20812,9044,0.3092,981,21,0.6473,0.1199,0.1612,0.0346,0.028650647,0.355822551,0.615526802
16,0.5556,10600,27970,8755,0.3718,1085,24,0.8119,0.0201,0.0222,0.0138,0.00583703,0.267569461,0.726593509
17,0.5907,35578,35578,11758,0.2764,1020,23,0.4339,0.0591,0.1142,0.0828,0.021794222,0.274708566,0.703497212
18,0.6502,29950,29950,7728,0.3842,1069,23,0.6742,0.0755,0.1608,0.0238,0.054593875,0.392809587,0.552596538
19,0.3954,7259,19159,8628,0.5878,933,20,0.0656,0.0255,0.8339,0.0078,0.075496689,0.338952438,0.585550873
20,0.5147,26910,26910,7810,0.3839,1177,26,0.6571,0.0983,0.0928,0.0114,0.023041475,0.312442396,0.664516129
21,0.6796,8996,22116,9256,0.4003,1091,24,0.489,0.1631,0.1505,0.0832,0.029053584,0.274356298,0.696590118
22,0.5278,26340,26340,8773,0.2355,931,19,0.5536,0.0837,0.1955,0.0274,0.02306425,0.291598023,0.685337727
23,0.4579,30406,30406,6132,0.4911,1047,23,0.8066,0.0164,0.0476,0.0137,0.031665611,0.332488917,0.635845472
24,0.7175,36960,36960,7035,0.3073,1105,24,0.7329,0.1239,0.0596,0.0379,0.013386881,0.258366801,0.728246319
